Period,Region,Region code,New dwellings Price,New dwellings average advance,New dwellings average recorded income of borrowers,Other dwellings Price,Other dwellings average advance,Other dwellings average recorded income of borrowers,All dwellings Price,All dwellings average advance,All dwellings average recorded income of borrowers,First time buyers Price,First time buyers average advance,First time buyers average recorded income of borrowers,Former owner occupiers Price,Former owner occupiers average advance,Former owner occupiers average recorded income of borrowers,Unnamed: 18,"Simple average house and mortage price statistics [note 1, 2, 3, 4, 5, 6, 7]",Period_dt
2021 Q1,United Kingdom,K02000001,335948,215643,66991,346925,229531,69619,345338,227561,69246,256983,189152,54789,408762,255144,79689,,,01/01/2021
2021 Q2,United Kingdom,K02000001,328260,212524,66251,345131,230013,69547,342759,227481,69072,255857,189999,54949,415792,259116,81044,,,01/04/2021
2021 Q3,United Kingdom,K02000001,298342,197523,61645,294768,202936,61362,295338,202204,61408,223715,172106,49808,368129,232854,73378,,,01/07/2021
2021 Q4,United Kingdom,K02000001,311594,207139,63308,310860,212940,63140,310944,211863,63176,233081,178352,50681,404412,252108,78200,,,01/10/2021
2022 Q1,United Kingdom,K02000001,330009,216035,66070,330014,226155,66471,329968,224655,66414,247026,188570,52931,420355,263984,81206,,,01/01/2022
2022 Q2,United Kingdom,K02000001,331864,223957,66891,336468,233542,68508,335472,231743,68192,256198,196278,54907,424518,271585,83204,,,01/04/2022
2022 Q3,United Kingdom,K02000001,338813,226844,69082,356116,244675,72097,353533,242039,71654,266178,204927,57567,446588,281575,86742,,,01/07/2022
2022 Q4,United Kingdom,K02000001,333754,224565,69269,344506,235648,70590,342755,233788,70380,262706,201976,57695,431519,269049,84522,,,01/10/2022
2023 Q1,United Kingdom,K02000001,332008,216393,70781,326764,219678,69523,327525,219186,69722,252586,190991,57155,413346,251475,84219,,,01/01/2023
2023 Q2,United Kingdom,K02000001,329835,219064,73877,326204,220055,71728,326846,219950,72076,251769,192216,58790,410249,250769,86942,,,01/04/2023
2023 Q3,United Kingdom,K02000001,323258,210779,73370,344368,229899,75031,341841,227612,74840,259534,198641,60791,430033,258646,90063,,,01/07/2023
2023 Q4,United Kingdom,K02000001,317623,210149,74366,326765,217595,72900,325504,216602,73116,249939,191321,60168,410941,245179,87926,,,01/10/2023
2024 Q1,United Kingdom,K02000001,307651,206028,74246,324320,220163,74260,322220,218382,74258,248259,191551,60430,412429,251107,91312,,,01/01/2024
2024 Q2,United Kingdom,K02000001,324960,223331,76970,327614,225840,74768,327235,225482,75083,256929,200448,61978,412083,255694,91053,,,01/04/2024
2024 Q3,United Kingdom,K02000001,329299,222345,77515,345414,236264,77658,343711,234793,77643,265002,207183,63007,433814,266400,94548,,,01/07/2024
