Period_dt,Period,Region,Region code,Price,Segment
2021-01-01,2021 Q1,East Midlands,E12000004,272965,All dwellings
2021-04-01,2021 Q2,East Midlands,E12000004,266223,All dwellings
2021-07-01,2021 Q3,East Midlands,E12000004,241978,All dwellings
2021-10-01,2021 Q4,East Midlands,E12000004,251920,All dwellings
2022-01-01,2022 Q1,East Midlands,E12000004,258596,All dwellings
2022-04-01,2022 Q2,East Midlands,E12000004,268248,All dwellings
2022-07-01,2022 Q3,East Midlands,E12000004,278444,All dwellings
2022-10-01,2022 Q4,East Midlands,E12000004,279561,All dwellings
2023-01-01,2023 Q1,East Midlands,E12000004,262504,All dwellings
2023-04-01,2023 Q2,East Midlands,E12000004,268689,All dwellings
2023-07-01,2023 Q3,East Midlands,E12000004,273288,All dwellings
2023-10-01,2023 Q4,East Midlands,E12000004,264796,All dwellings
2024-01-01,2024 Q1,East Midlands,E12000004,259857,All dwellings
2024-04-01,2024 Q2,East Midlands,E12000004,267088,All dwellings
2024-07-01,2024 Q3,East Midlands,E12000004,275560,All dwellings
2024-10-01,2024 Q4,East Midlands,E12000004,278407,All dwellings
2025-01-01,2025 Q1,East Midlands,E12000004,281630,All dwellings
2025-04-01,2025 Q2,East Midlands,E12000004,265856,All dwellings
2025-07-01,2025 Q3,East Midlands,E12000004,278934,All dwellings
2025-10-01,2025 Q4,East Midlands,E12000004,283889,All dwellings
2021-01-01,2021 Q1,East of England,E12000006,395293,All dwellings
2021-04-01,2021 Q2,East of England,E12000006,392121,All dwellings
2021-07-01,2021 Q3,East of England,E12000006,348200,All dwellings
2021-10-01,2021 Q4,East of England,E12000006,376288,All dwellings
2022-01-01,2022 Q1,East of England,E12000006,386108,All dwellings
2022-04-01,2022 Q2,East of England,E12000006,393090,All dwellings
2022-07-01,2022 Q3,East of England,E12000006,409984,All dwellings
2022-10-01,2022 Q4,East of England,E12000006,403475,All dwellings
2023-01-01,2023 Q1,East of England,E12000006,387936,All dwellings
2023-04-01,2023 Q2,East of England,E12000006,385869,All dwellings
2023-07-01,2023 Q3,East of England,E12000006,397174,All dwellings
2023-10-01,2023 Q4,East of England,E12000006,381200,All dwellings
2024-01-01,2024 Q1,East of England,E12000006,371777,All dwellings
2024-04-01,2024 Q2,East of England,E12000006,379965,All dwellings
2024-07-01,2024 Q3,East of England,E12000006,395309,All dwellings
2024-10-01,2024 Q4,East of England,E12000006,393810,All dwellings
2025-01-01,2025 Q1,East of England,E12000006,400368,All dwellings
2025-04-01,2025 Q2,East of England,E12000006,371154,All dwellings
2025-07-01,2025 Q3,East of England,E12000006,400435,All dwellings
2025-10-01,2025 Q4,East of England,E12000006,398559,All dwellings
2021-01-01,2021 Q1,England,E92000001,364031,All dwellings
2021-04-01,2021 Q2,England,E92000001,361983,All dwellings
2021-07-01,2021 Q3,England,E92000001,310666,All dwellings
2021-10-01,2021 Q4,England,E92000001,330471,All dwellings
2022-01-01,2022 Q1,England,E92000001,349244,All dwellings
2022-04-01,2022 Q2,England,E92000001,356226,All dwellings
2022-07-01,2022 Q3,England,E92000001,374920,All dwellings
2022-10-01,2022 Q4,England,E92000001,360984,All dwellings
2023-01-01,2023 Q1,England,E92000001,345409,All dwellings
2023-04-01,2023 Q2,England,E92000001,347688,All dwellings
