Period_dt,Period,Region,Region code,Price,Segment,lag_1,lag_2,lag_4,roll_mean_4,yoy_growth,quarter
2021-01-01,2021 Q1,East Midlands,E12000004,272965,All dwellings,,,,,,1
2021-04-01,2021 Q2,East Midlands,E12000004,266223,All dwellings,272965.0,,,,,2
2021-07-01,2021 Q3,East Midlands,E12000004,241978,All dwellings,266223.0,272965.0,,,,3
2021-10-01,2021 Q4,East Midlands,E12000004,251920,All dwellings,241978.0,266223.0,,,,4
2022-01-01,2022 Q1,East Midlands,E12000004,258596,All dwellings,251920.0,241978.0,272965.0,258271.5,-0.05264044840913673,1
2022-04-01,2022 Q2,East Midlands,E12000004,268248,All dwellings,258596.0,251920.0,266223.0,254679.25,0.007606405156579177,2
2022-07-01,2022 Q3,East Midlands,E12000004,278444,All dwellings,268248.0,258596.0,241978.0,255185.5,0.15069965038143973,3
2022-10-01,2022 Q4,East Midlands,E12000004,279561,All dwellings,278444.0,268248.0,251920.0,264302.0,0.10972134010797086,4
2023-01-01,2023 Q1,East Midlands,E12000004,262504,All dwellings,279561.0,278444.0,258596.0,271212.25,0.015112376061501287,1
2023-04-01,2023 Q2,East Midlands,E12000004,268689,All dwellings,262504.0,279561.0,268248.0,272189.25,0.0016440010736333832,2
2023-07-01,2023 Q3,East Midlands,E12000004,273288,All dwellings,268689.0,262504.0,278444.0,272299.5,-0.018517188375400395,3
2023-10-01,2023 Q4,East Midlands,E12000004,264796,All dwellings,273288.0,268689.0,279561.0,271010.5,-0.05281494915242113,4
2024-01-01,2024 Q1,East Midlands,E12000004,259857,All dwellings,264796.0,273288.0,262504.0,267319.25,-0.010083655868101005,1
2024-04-01,2024 Q2,East Midlands,E12000004,267088,All dwellings,259857.0,264796.0,268689.0,266657.5,-0.005958561757273273,2
2024-07-01,2024 Q3,East Midlands,E12000004,275560,All dwellings,267088.0,259857.0,273288.0,266257.25,0.008313573958607767,3
2024-10-01,2024 Q4,East Midlands,E12000004,278407,All dwellings,275560.0,267088.0,264796.0,266825.25,0.051401833864559876,4
2025-01-01,2025 Q1,East Midlands,E12000004,281630,All dwellings,278407.0,275560.0,259857.0,270228.0,0.0837883913075268,1
2025-04-01,2025 Q2,East Midlands,E12000004,265856,All dwellings,281630.0,278407.0,267088.0,275671.25,-0.004612711915173984,2
2025-07-01,2025 Q3,East Midlands,E12000004,278934,All dwellings,265856.0,281630.0,275560.0,275363.25,0.012244157352300666,3
2025-10-01,2025 Q4,East Midlands,E12000004,283889,All dwellings,278934.0,265856.0,278407.0,276206.75,0.01969059685999275,4
2021-01-01,2021 Q1,East of England,E12000006,395293,All dwellings,,,,,,1
2021-04-01,2021 Q2,East of England,E12000006,392121,All dwellings,395293.0,,,,,2
2021-07-01,2021 Q3,East of England,E12000006,348200,All dwellings,392121.0,395293.0,,,,3
2021-10-01,2021 Q4,East of England,E12000006,376288,All dwellings,348200.0,392121.0,,,,4
2022-01-01,2022 Q1,East of England,E12000006,386108,All dwellings,376288.0,348200.0,395293.0,377975.5,-0.0232359287920606,1
2022-04-01,2022 Q2,East of England,E12000006,393090,All dwellings,386108.0,376288.0,392121.0,375679.25,0.0024711759890441165,2
2022-07-01,2022 Q3,East of England,E12000006,409984,All dwellings,393090.0,386108.0,348200.0,375921.5,0.17743825387708223,3
2022-10-01,2022 Q4,East of England,E12000006,403475,All dwellings,409984.0,393090.0,376288.0,391367.5,0.07225051024746998,4
2023-01-01,2023 Q1,East of England,E12000006,387936,All dwellings,403475.0,409984.0,386108.0,398164.25,0.00473442663710677,1
2023-04-01,2023 Q2,East of England,E12000006,385869,All dwellings,387936.0,403475.0,393090.0,398621.25,-0.018369838968175234,2
2023-07-01,2023 Q3,East of England,E12000006,397174,All dwellings,385869.0,387936.0,409984.0,396816.0,-0.03124512176084926,3
2023-10-01,2023 Q4,East of England,E12000006,381200,All dwellings,397174.0,385869.0,403475.0,393613.5,-0.055207881529214964,4
2024-01-01,2024 Q1,East of England,E12000006,371777,All dwellings,381200.0,397174.0,387936.0,388044.75,-0.04165377794275349,1
2024-04-01,2024 Q2,East of England,E12000006,379965,All dwellings,371777.0,381200.0,385869.0,384005.0,-0.015300529454296719,2
2024-07-01,2024 Q3,East of England,E12000006,395309,All dwellings,379965.0,371777.0,397174.0,382529.0,-0.0046956749434756695,3
2024-10-01,2024 Q4,East of England,E12000006,393810,All dwellings,395309.0,379965.0,381200.0,382062.75,0.03307974816369352,4
2025-01-01,2025 Q1,East of England,E12000006,400368,All dwellings,393810.0,395309.0,371777.0,385215.25,0.0769036277123114,1
2025-04-01,2025 Q2,East of England,E12000006,371154,All dwellings,400368.0,393810.0,379965.0,392363.0,-0.023188977932178,2
2025-07-01,2025 Q3,East of England,E12000006,400435,All dwellings,371154.0,400368.0,395309.0,390160.25,0.01296707132901087,3
2025-10-01,2025 Q4,East of England,E12000006,398559,All dwellings,400435.0,371154.0,393810.0,391441.75,0.012059114801554083,4
2021-01-01,2021 Q1,England,E92000001,364031,All dwellings,,,,,,1
2021-04-01,2021 Q2,England,E92000001,361983,All dwellings,364031.0,,,,,2
2021-07-01,2021 Q3,England,E92000001,310666,All dwellings,361983.0,364031.0,,,,3
2021-10-01,2021 Q4,England,E92000001,330471,All dwellings,310666.0,361983.0,,,,4
2022-01-01,2022 Q1,England,E92000001,349244,All dwellings,330471.0,310666.0,364031.0,341787.75,-0.04062016696380255,1
2022-04-01,2022 Q2,England,E92000001,356226,All dwellings,349244.0,330471.0,361983.0,338091.0,-0.015904061792957114,2
2022-07-01,2022 Q3,England,E92000001,374920,All dwellings,356226.0,349244.0,310666.0,336651.75,0.20682662409146801,3
2022-10-01,2022 Q4,England,E92000001,360984,All dwellings,374920.0,356226.0,330471.0,352715.25,0.09233185362709584,4
2023-01-01,2023 Q1,England,E92000001,345409,All dwellings,360984.0,374920.0,349244.0,360343.5,-0.0109808615180218,1
2023-04-01,2023 Q2,England,E92000001,347688,All dwellings,345409.0,360984.0,356226.0,359384.75,-0.02396793047110546,2
2023-07-01,2023 Q3,England,E92000001,363095,All dwellings,347688.0,345409.0,374920.0,357250.25,-0.03154006187986769,3
2023-10-01,2023 Q4,England,E92000001,344140,All dwellings,363095.0,347688.0,360984.0,354294.0,-0.04666134787137377,4
2024-01-01,2024 Q1,England,E92000001,340763,All dwellings,344140.0,363095.0,345409.0,350083.0,-0.013450720739760724,1
2024-04-01,2024 Q2,England,E92000001,347748,All dwellings,340763.0,344140.0,347688.0,348921.5,0.00017256850969826765,2
2024-07-01,2024 Q3,England,E92000001,364887,All dwellings,347748.0,340763.0,363095.0,348936.5,0.004935347498588483,3
2024-10-01,2024 Q4,England,E92000001,356029,All dwellings,364887.0,347748.0,344140.0,349384.5,0.03454698669146272,4
